公告,#genre#
更新日期,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
2025-02-01,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
广东频道,#genre#
广东卫视,http://eastscreen.tv/ooooo.php?id=gdwshd 
广东卫视,http://goo.bkpcp.top/mg/gdws 
广东卫视,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=gdws 
广东卫视,http://114.246.181.146:4022/rtp/239.3.1.142:8048 
广东卫视,http://123.118.1.116:4022/rtp/239.3.1.142:8048 
广东卫视高清,http://120.198.125.186:9986/udp/239.10.0.111:1025 
广东卫视高清,http://120.198.125.186:9986/udp/239.10.0.141:1025 
广东卫视高清,http://183.51.190.237:6633/udp/239.77.1.19:5146 
广东卫视高清,http://183.51.190.237:6633/udp/239.77.1.152:5146 
广东卫视高清,http://183.51.190.237:6633/udp/239.77.0.84:5146 
广东卫视高清,http://113.64.197.197:6633/udp/239.77.1.19:5146 
广东卫视高清,http://113.64.197.197:6633/udp/239.77.1.152:5146 
广东卫视高清,http://113.64.197.197:6633/udp/239.77.0.84:5146 
广东卫视高清,http://183.51.190.223:6633/udp/239.77.1.19:5146 
广东卫视高清,http://183.51.190.223:6633/udp/239.77.1.152:5146 
广东卫视高清,http://183.51.190.223:6633/udp/239.77.0.84:5146 
广东卫视高清,http://119.32.12.13:2901/udp/224.1.100.95:11111 
广东卫视高清,http://119.32.12.13:2901/udp/224.1.100.96:11111 
广东卫视高清,http://119.32.12.12:2901/udp/224.1.100.95:11111 
广东卫视高清,http://119.32.12.12:2901/udp/224.1.100.96:11111 
广东卫视高清,http://119.32.12.32:2901/udp/224.1.100.95:11111 
广东卫视高清,http://119.32.12.32:2901/udp/224.1.100.96:11111 
广东卫视高清,http://14.19.168.28:4022/udp/239.77.1.19:5146 
广东卫视高清,http://14.19.168.28:4022/udp/239.77.1.152:5146 
广东卫视高清,http://14.19.168.28:4022/udp/239.77.0.84:5146 
广东卫视超清,http://183.51.190.237:6633/udp/239.77.0.166:5146 
广东卫视超清,http://113.64.197.197:6633/udp/239.77.0.166:5146 
广东卫视超清,http://183.51.190.223:6633/udp/239.77.0.166:5146 
广东卫视超清,http://14.19.168.28:4022/udp/239.77.0.166:5146 
广东珠江高清,http://120.198.125.186:9986/udp/239.10.0.62:1025 
广东珠江高清,http://183.51.190.237:6633/udp/239.77.0.1:5146 
广东珠江高清,http://113.64.197.197:6633/udp/239.77.0.1:5146 
广东珠江高清,http://183.51.190.223:6633/udp/239.77.0.1:5146 
广东珠江高清,http://119.32.12.13:2901/udp/224.1.100.23:11111 
